State	Town	7_2009	3	4	8.40188
Alabama	Abbeville 	2930	3	10	3.94383
Alabama	Adamsville 	4782	3	11	7.83099
Alabama	Addison 	709	3	8	7.9844
Alabama	Akron 	433	3	6	9.11647
Alabama	Alabaster 	29861	3	10	1.97551
Alabama	Albertville 	20115	3	12	3.35223
Alabama	Alexander City 	15114	3	15	7.6823
Alabama	Aliceville 	2417	3	11	2.77775
Alabama	Allgood 	737	3	8	5.5397
Alabama	Altoona 	966	3	8	4.77397
Alabama	Andalusia 	8863	3	10	6.28871
Alabama	Anderson 	355	3	9	3.64784
Alabama	Anniston 	23561	3	9	5.13401
Alabama	Arab 	8272	3	5	9.5223
Alabama	Ardmore 	1288	3	8	9.16195
Alabama	Argo 	1961	3	5	6.35712
Alabama	Ariton 	746	3	7	7.17297
Alabama	Arley 	318	3	6	1.41603
Alabama	Ashford 	2100	3	8	6.06969
Alabama	Ashland 	1890	3	8	0.163006
Alabama	Ashville 	2643	3	9	2.42887
Alabama	Athens 	24194	3	7	1.37232
Alabama	Atmore 	10109	3	7	8.04177
Alabama	Attalla 	6587	3	8	1.56679
Alabama	Auburn 	57828	3	7	4.00944
Alabama	Autaugaville 	877	3	13	1.2979
Alabama	Avon 	488	3	5	1.08809
Alabama	Babbie 	624	3	7	9.98925
Alabama	Baileyton 	722	3	10	2.18257
Alabama	Bakerhill 	322	3	10	5.12932
Alabama	Banks 	222	3	6	8.39112
Alabama	Bay Minette 	8342	3	12	6.1264
Alabama	Bayou La Batre 	3163	3	15	2.96032
Alabama	Bear Creek 	990	3	11	6.37552
Alabama	Beatrice 	384	3	9	5.24287
Alabama	Beaverton 	205	3	10	4.93583
Alabama	Belk 	207	3	5	9.72775
Alabama	Benton 	42	3	7	2.92517
Alabama	Berry 	1172	3	6	7.71358
Alabama	Bessemer 	28772	3	9	5.26745
Alabama	Billingsley 	118	3	12	7.69914
Alabama	Birmingham 	230131	3	11	4.00229
Alabama	Black 	210	3	6	8.91529
Alabama	Blountsville 	2000	3	13	2.83315
Alabama	Blue Springs 	118	3	13	3.52458
Alabama	Boaz 	8501	3	5	8.07725
Alabama	Boligee 	331	3	8	9.19026
Alabama	Bon Air 	94	3	8	0.697553
Alabama	Brantley 	905	3	9	9.49327
Alabama	Brent 	4182	3	6	5.25995
Alabama	Brewton 	5240	3	8	0.860558
Alabama	Bridgeport 	2602	3	11	1.92214
